source_interval,image_size,image_discrepancy,normalized_image_discrepancy,iteration_depth
"[4096,4595] Y",250,-10,0.08196721,1
"[4096,4595] J",500,108,0.45,1
"[4096,5095] Y",500,-18,0.06976744,1
"[4096,5095] J",1000,72,0.14814815,1
"[4096,6095] Y",1000,-20,0.04016064,1
"[4096,6095] J",2000,-111,0.11155779,1
"[4096,14095] Y",5000,-50,0.01984127,1
"[4096,104095] Y",50000,-68,0.00272065,1
"[8192,8211] Y",10,1,0.33333333,1
"[8192,8211] J",20,1,0.33333333,1
"[8192,8241] Y",25,5,0.45454545,1
"[8192,8241] J",50,5,0.45454545,1
"[8192,8291] Y",50,1,0.04347826,1
"[8192,8291] J",100,6,0.21428571,1
"[8192,8391] Y",100,6,0.13043478,1
"[8192,8391] J",200,61,0.6039604,1
"[8192,8691] Y",250,5,0.04347826,1
"[8192,8691] J",500,117,0.5154185,1
"[8192,9191] Y",500,-10,0.03816794,1
"[8192,9191] J",1000,91,0.17202268,1
"[8192,10191] Y",1000,-25,0.0501002,1
"[8192,10191] J",2000,-132,0.13552361,1
"[8192,18191] Y",5000,-84,0.03328051,1
"[8192,108191] Y",50000,-90,0.00360115,1
"[10000,10019] Y",10,0,0.0,1
"[10000,10019] J",20,0,0.0,1
"[10000,10049] Y",25,1,0.11111111,1
"[10000,10049] J",50,1,0.11111111,1
"[10000,10099] Y",50,-4,0.16666667,1
"[10000,10099] J",100,-4,0.16666667,1
"[10000,10199] Y",100,-12,0.27272727,1
"[10000,10199] J",200,-12,0.27272727,1
"[10000,10499] Y",250,-23,0.19327731,1
"[10000,10499] J",500,-124,0.56363636,1
"[10000,10999] Y",500,-10,0.04132231,1
"[10000,10999] J",1000,-214,0.47982063,1
"[10000,11999] Y",1000,-45,0.08737864,1
"[10000,11999] J",2000,-306,0.30909091,1
"[10000,19999] Y",5000,-54,0.02154828,1
"[10000,109999] Y",50000,-95,0.00380228,1
"[16384,16403] Y",10,-1,1.0,1
"[16384,16403] J",20,-1,1.0,1
"[16384,16433] Y",25,-3,0.33333333,1
"[16384,16433] J",50,-3,0.33333333,1
"[16384,16483] Y",50,-1,0.04761905,1
"[16384,16483] J",100,-1,0.04761905,1
"[16384,16583] Y",100,3,0.06122449,1
"[16384,16583] J",200,3,0.06122449,1
"[16384,16883] Y",250,8,0.0625,1
"[16384,16883] J",500,-113,0.45381526,1
"[16384,17383] Y",500,2,0.00719424,1
"[16384,17383] J",1000,-238,0.45945946,1
"[16384,18383] Y",1000,6,0.01153846,1
"[16384,18383] J",2000,-308,0.31048387,1
"[16384,26383] Y",5000,11,0.00440882,1
"[16384,116383] Y",50000,-54,0.00216104,1
"[29791,29810] Y",10,0,0.0,1
"[29791,29810] J",20,0,0.0,1
"[29791,29840] Y",25,-1,0.2,1
"[29791,29840] J",50,-1,0.2,1
"[29791,29890] Y",50,0,0.0,1
"[29791,29890] J",100,0,0.0,1
"[29791,29990] Y",100,11,0.23404255,1
"[29791,29990] J",200,-20,0.25641026,1
"[29791,30290] Y",250,14,0.1147541,1
"[29791,30290] J",500,-159,0.53898305,1
"[29791,30790] Y",500,22,0.08661417,1
"[29791,30790] J",1000,-234,0.45882353,1
"[29791,31790] Y",1000,26,0.05058366,1
"[29791,31790] J",2000,-145,0.13955727,1
"[29791,39790] Y",5000,42,0.01693548,1
"[29791,129790] Y",50000,-84,0.00335866,1
"[32768,32787] Y",10,-2,0.33333333,1
"[32768,32787] J",20,-12,0.75,1
"[32768,32817] Y",25,-2,0.14285714,1
"[32768,32817] J",50,-27,0.69230769,1
"[32768,32867] Y",50,-6,0.21428571,1
"[32768,32867] J",100,-56,0.71794872,1
"[32768,32967] Y",100,-2,0.03703704,1
