round,target,predecessor,branch,validation_status
6,60,3662,E,ok
6,60,3664,E,ok
6,60,3666,E,ok
6,60,3668,E,ok
6,60,3670,E,ok
6,60,3672,E,ok
6,60,3674,E,ok
6,60,3676,E,ok
6,60,3678,E,ok
6,60,3680,E,ok
6,60,3682,E,ok
6,60,3684,E,ok
6,60,3686,E,ok
6,60,3688,E,ok
6,60,3690,E,ok
6,60,3692,E,ok
6,60,3694,E,ok
6,60,3696,E,ok
6,60,3698,E,ok
6,60,3700,E,ok
6,60,3702,E,ok
6,60,3704,E,ok
6,60,3706,E,ok
6,60,3708,E,ok
6,60,3710,E,ok
6,60,3712,E,ok
6,60,3714,E,ok
6,60,3716,E,ok
6,60,3718,E,ok
6,60,3720,E,ok
6,62,3844,E,ok
6,62,3846,E,ok
6,62,3848,E,ok
6,62,3850,E,ok
6,62,3852,E,ok
6,62,3854,E,ok
6,62,3856,E,ok
6,62,3858,E,ok
6,62,3860,E,ok
6,62,3862,E,ok
6,62,3864,E,ok
6,62,3866,E,ok
6,62,3868,E,ok
6,62,3870,E,ok
6,62,3872,E,ok
6,62,3874,E,ok
6,62,3876,E,ok
6,62,3878,E,ok
6,62,3880,E,ok
6,62,3882,E,ok
6,62,3884,E,ok
6,62,3886,E,ok
6,62,3888,E,ok
6,62,3890,E,ok
6,62,3892,E,ok
6,62,3894,E,ok
6,62,3896,E,ok
6,62,3898,E,ok
6,62,3900,E,ok
6,62,3902,E,ok
6,62,3904,E,ok
6,62,3906,E,ok
6,62,3908,E,ok
6,62,3910,E,ok
6,62,3912,E,ok
6,62,3914,E,ok
6,62,3916,E,ok
6,62,3918,E,ok
6,62,3920,E,ok
6,62,3922,E,ok
6,62,3924,E,ok
6,62,3926,E,ok
6,62,3928,E,ok
6,62,3930,E,ok
6,62,3932,E,ok
6,62,3934,E,ok
6,62,3936,E,ok
6,62,3938,E,ok
6,62,3940,E,ok
6,62,3942,E,ok
6,62,3944,E,ok
6,62,3946,E,ok
6,62,3948,E,ok
6,62,3950,E,ok
6,62,3952,E,ok
6,62,3954,E,ok
6,62,3956,E,ok
6,62,3958,E,ok
6,62,3960,E,ok
6,62,3962,E,ok
6,62,3964,E,ok
6,62,3966,E,ok
6,62,3968,E,ok
6,57,3250,E,ok
6,57,3252,E,ok
6,57,3254,E,ok
6,57,3256,E,ok
6,57,3258,E,ok
6,57,3260,E,ok
6,57,3262,E,ok
6,57,3264,E,ok
6,57,3266,E,ok
6,57,3268,E,ok
6,57,3270,E,ok
6,57,3272,E,ok
6,57,3274,E,ok
6,57,3276,E,ok
6,57,3278,E,ok
6,57,3280,E,ok
6,57,3282,E,ok
6,57,3284,E,ok
6,57,3286,E,ok
6,57,3288,E,ok
6,57,3290,E,ok
6,57,3292,E,ok
6,57,3294,E,ok
6,57,3296,E,ok
6,57,3298,E,ok
6,57,3300,E,ok
6,57,3302,E,ok
6,57,3304,E,ok
6,57,3306,E,ok
6,57,3308,E,ok
6,57,3310,E,ok
6,57,3312,E,ok
6,57,3314,E,ok
6,57,3316,E,ok
6,57,3318,E,ok
6,57,3320,E,ok
6,57,3322,E,ok
6,57,3324,E,ok
6,57,3326,E,ok
6,57,3328,E,ok
6,57,3330,E,ok
6,57,3332,E,ok
6,57,3334,E,ok
6,57,3336,E,ok
6,57,3338,E,ok
6,57,3340,E,ok
6,57,3342,E,ok
6,57,3344,E,ok
6,57,3346,E,ok
6,57,3348,E,ok
6,57,3350,E,ok
6,57,3352,E,ok
6,57,3354,E,ok
6,57,3356,E,ok
6,57,3358,E,ok
6,57,3360,E,ok
6,57,3362,E,ok
6,63,3970,E,ok
6,63,3972,E,ok
6,63,3974,E,ok
6,63,3976,E,ok
6,63,3978,E,ok
6,63,3980,E,ok
6,63,3982,E,ok
6,63,3984,E,ok
6,63,3986,E,ok
6,63,3988,E,ok
6,63,3990,E,ok
6,63,3992,E,ok
6,63,3994,E,ok
6,63,3996,E,ok
6,63,3998,E,ok
6,63,4000,E,ok
6,140,27,O,ok
6,5,26,E,ok
6,5,28,E,ok
6,5,30,E,ok
6,5,32,E,ok
6,5,34,E,ok
6,5,3,O,ok
6,172,31,O,ok
6,322,47,O,ok
7,1710,143,O,ok
7,1746,145,O,ok
